,assignee,DA,exampleFromPaper,example1,transcriptName1,rowNumber1,example2,transcriptName2,rowNumber2,example3,transcriptName3,rowNumber3,,,
0,Kevin,Hint: Information,It can be any one of the cards in the deck.," So if you had $200 of non disposable and $200 of disposable, that means that you had $400 total in income.",575ada37-caf9-4dc6-9956-6d2e115bcf9f,235," So when I say like dissolves, like, it just means that polar things dissolve in polar things.",575ada37-caf9-4dc6-9956-6d2e115bcf9f,671," I found the net field, but what that means is I found double the Y components.",9b2cf845-211b-489c-b799-fac19b192aaa,289,,,
1,Kevin,Hint: Observation,We have 80.,So we know that there are certain factors that affect solubility.,0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,46," So the answer we got times 9.1, times ten to the negative 31.",9b2cf845-211b-489c-b799-fac19b192aaa,225,"There's r one.
",9b2cf845-211b-489c-b799-fac19b192aaa,238,,,
2,Kevin,Directive,Check this definition.,"So if we look at this graph, we can see that sodium chloride is here.",0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,123,"So NaCl, we can look at a pair up table for that.",0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,864,The only other thing I can suggest is turn your camera.,9b2cf845-211b-489c-b799-fac19b192aaa,23,,,
3,Kevin,Acknowledge,Alright!,Exactly.,575ada37-caf9-4dc6-9956-6d2e115bcf9f,149,Correct,575ada37-caf9-4dc6-9956-6d2e115bcf9f,148,All right.,0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,37,,,
4,Kevin,Evaluation Question,Does that make sense?,How would you describe it?,0e204b03-0e0c-49ef-aa70-52f5e4d08ff1,40," Wait, how did you do that?",575ada37-caf9-4dc6-9956-6d2e115bcf9f,382,How do you use the 45 degree.,575ada37-caf9-4dc6-9956-6d2e115bcf9f,706,,,
5,Mufei,Confirmation Question,Would the answer be 30?," So the first one can't be simplified, right?",8a54562d-c032-4ffb-905a-26eec43c76ac,145," You know that, right?",59f27b8a-1bd6-496f-83a7-52291e54211e,116,Do you see that now?,59f27b8a-1bd6-496f-83a7-52291e54211e,180," I think that's what it means there, right?",59f27b8a-1bd6-496f-83a7-52291e54211e,520
6,Mufei,Positive Feedback,Correct!," Very good, Vincey.",8a54562d-c032-4ffb-905a-26eec43c76ac,342,Nice.,8a54562d-c032-4ffb-905a-26eec43c76ac,163,Exactly.,8a54562d-c032-4ffb-905a-26eec43c76ac,337,You did so much better this time.,cf218324-cb81-406a-9217-78ccc4a7b387,621
7,Mufei,Negative Feedback,"No, it is incorrect.",No.,59f27b8a-1bd6-496f-83a7-52291e54211e,393," No, this is because in the second equation, two divided by x squared, x squared becomes a bigger number.",59f27b8a-1bd6-496f-83a7-52291e54211e,121," No, that's not right.",2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,407,,,
8,Mufei,Correction,We will,"Sorry, k equals 1.",cba6745b-33df-4d20-83e7-59156af951b3,530," No, it's 1712.",2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,361," Hold on, let me fix it.",cf218324-cb81-406a-9217-78ccc4a7b387,640,,,
9,Mufei,Direction Question,How do I do that?,So what do we do now?,cba6745b-33df-4d20-83e7-59156af951b3,476,"How do I make it go, like down?",904ea697-0df9-4733-91b2-b0c56560eb2f,85,How do I find this question?,1576aa1e-adb5-4f36-9ef1-be49014e19aa,398,"So if we're doing perpendicular, what do we do?",02390ef7-1288-40b8-bdef-741117db246a,68
10,Sandy,Information Question,What are the units for W?,And then how many bricks are required for the top step?,cba6745b-33df-4d20-83e7-59156af951b3,109,Now what are we supposed to find?,cba6745b-33df-4d20-83e7-59156af951b3,161,"Circle is PI r squared, I believe, right?",1576aa1e-adb5-4f36-9ef1-be49014e19aa,338,,,
11,Sandy,Probing Question,How many options can it be?," Okay, so your b, though, is what number?", cf218324-cb81-406a-9217-78ccc4a7b387,304,So minus negative 40 is going to look like what?,cf218324-cb81-406a-9217-78ccc4a7b387,391,So why did you just change the two to a negative two?,cf218324-cb81-406a-9217-78ccc4a7b387,613,,,
12,Sandy,Open Question,What do you think we could try next?,How do you check for geometric sequence?,cba6745b-33df-4d20-83e7-59156af951b3,294,So what do we do now?,cba6745b-33df-4d20-83e7-59156af951b3,476,How do you check for geometric sequence?,cba6745b-33df-4d20-83e7-59156af951b3,294,,,
13,Sandy,Factual Question,What is the value of x?,Negative 8 or Positive 8?,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,480,Is that 21 or is it marked off?,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,70,Is that just times negative n?,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,96,,,
14,Sandy,Operational Question,Any questions on this?,Does that make sense? ,8a54562d-c032-4ffb-905a-26eec43c76ac,303,So do you see how I got that to the negative four?,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,374,Do you know what I mean by perfect square?,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,543,You see how I got that?,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,374
15,Wayne,Extra Domain Question,How are you doing today?,What do you like to do outside of school?,cf218324-cb81-406a-9217-78ccc4a7b387,49,Where are you located?,59f27b8a-1bd6-496f-83a7-52291e54211e,10,How are you doing?,904ea697-0df9-4733-91b2-b0c56560eb2f,7," So, have you ever used varsity tutors before?",904ea697-0df9-4733-91b2-b0c56560eb2f,13
16,Wayne,Yes-No Answer,"Yes, that would be very helpful."," Yeah, I can only see x two.",cf218324-cb81-406a-9217-78ccc4a7b387,247," Yes, it.",59f27b8a-1bd6-496f-83a7-52291e54211e,204,Yeah.,904ea697-0df9-4733-91b2-b0c56560eb2f,299,No.,904ea697-0df9-4733-91b2-b0c56560eb2f,391
17,Wayne,WH Answer,It is 6.,"I think that's the equation, yes.",cf218324-cb81-406a-9217-78ccc4a7b387,87,Question zero.,59f27b8a-1bd6-496f-83a7-52291e54211e,130,Because this is the value of a.,59f27b8a-1bd6-496f-83a7-52291e54211e,217,It'd be two equals eight.,904ea697-0df9-4733-91b2-b0c56560eb2f,377
18,Wayne,Extra Domain Answer,I am good.,I like sewing.,cf218324-cb81-406a-9217-78ccc4a7b387,54,In Lake Travis.,59f27b8a-1bd6-496f-83a7-52291e54211e,11,Good.,904ea697-0df9-4733-91b2-b0c56560eb2f,8,Yeah.,904ea697-0df9-4733-91b2-b0c56560eb2f,14
19,Wayne,Explanation,The straight line is the line on the bottom.," The big thing to understand about the equation versus the formula, you need the formula to solve this type of equation.",cf218324-cb81-406a-9217-78ccc4a7b387,91,This two doesn't really affect the growth that much because it will always remain a constant factor.,59f27b8a-1bd6-496f-83a7-52291e54211e,90," So if I had X to the power of negative Y, that would be one that equals one over X to the Y power.",904ea697-0df9-4733-91b2-b0c56560eb2f,199,,,
20,Yujie,Greeting,Hello!,Have a good one.,02390ef7-1288-40b8-bdef-741117db246a,125,Bye.,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,619,See you next time.,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,620,,,
21,Yujie,Extra Domain Other,Welcome to use this app,Let me sit down.,cf218324-cb81-406a-9217-78ccc4a7b387,9,But that is our time for this session.,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,608,"It restarted the computer, but everything's working fine all the time.",8a54562d-c032-4ffb-905a-26eec43c76ac,2,,,
22,Yujie,Reassurance,"No problem, I will help you.",And then I will help you from there because I think that will help with the ending part is if you try it first.,cf218324-cb81-406a-9217-78ccc4a7b387,260,Let's see.,cf218324-cb81-406a-9217-78ccc4a7b387,228,And I will go over any of this once I get through it.,cf218324-cb81-406a-9217-78ccc4a7b387,144,,,
23,Yujie,Understanding,"Ok, got it.",I think I did it.,cf218324-cb81-406a-9217-78ccc4a7b387,272,"Without the letters, it's kind of like a bit easier because I can actually visualize it.",2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,602,"I guess like the powers, right?",2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,333,,,
24,Yujie,Not Understanding,I don’t know why.,I just don't understand.,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,248,The one thing I don't understand is why wouldn't we just put like one over 16 times one to the power of two squared?,2906a39f-a6d1-4115-a92d-d98ba5a4f7c3,260,I don't know what happened.,cf218324-cb81-406a-9217-78ccc4a7b387,19,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
